Course Code,Professor,Quarter,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
,"Burkart, Michael D",SP17,61,89.3%,96.4%,5.71,B (3.15)
,"Burkart, Michael D",SP16,26,90.0%,100.0%,4.70,B+ (3.40)
,"Burkart, Michael D",SP15,36,90.9%,72.7%,5.59,B (3.06)
,"Burkart, Michael D",SP14,70,85.7%,95.2%,5.74,B- (2.97)
,"Hermann, Thomas",SP13,73,81.0%,95.2%,6.12,B- (2.74)
,"Burkart, Michael D                 ",SP12,66,90.5%,100.0%,5.93,B+ (3.40)
,"Burkart, Michael D                 ",SP11,64,74.1%,92.6%,5.98,B (3.13)
,"Burkart, Michael D                 ",SP10,60,89.3%,93.1%,5.93,B (3.24)
,"Burkart, Michael D                 ",SP09,46,88.7%,92.3%,5.07,B (3.05)
,"Hermann, Thomas               ",SP11,64,76.0%,88.0%,5.94,B (3.13)
,"Burkart, Michael D            ",SP08,23,85.7%,89.3%,4.29,B+ (3.43)
CHEM 156,"Yang, Jerry",SP21,15,100.0%,100.0%,6.00,N/A
,"Yang, Jerry",WI20,20,75.0%,100.0%,5.00,B+ (3.43)
,"Yang, Jerry",WI19,7,100.0%,100.0%,7.83,N/A
,"Yang, Jerry",WI18,11,100.0%,100.0%,6.50,N/A
,"Yang, Jerry",WI17,13,80.0%,100.0%,8.90,N/A
,"Yang, Jerry",WI16,8,60.0%,100.0%,6.50,N/A
,"Gianneschi, Nathan",WI14,11,100.0%,50.0%,3.50,N/A
,"Gianneschi, Nathan",WI13,17,75.0%,37.5%,5.07,N/A
,"Yang, Jerry                        ",WI12,22,87.5%,75.0%,9.25,B (3.27)
,"Yang, Jerry                        ",WI11,21,91.7%,100.0%,4.50,B (3.06)
,"Yang, Jerry                        ",WI10,17,85.7%,100.0%,6.50,N/A
,"Yang, Jerry                        ",SP09,39,92.6%,89.3%,5.71,B+ (3.36)
,"Perrin, Charles L.            ",WI08,21,61.1%,77.8%,5.21,B- (2.97)
CHEM 151,"Donoghue, Daniel J.",WI21,80,96.8%,100.0%,3.66,A- (3.95)
,"Donoghue, Daniel J.",WI20,68,92.0%,100.0%,4.58,A- (3.88)
,"Weizman, Haim",SP19,77,96.2%,96.3%,3.19,B+ (3.48)
,"Weizman, Haim",SP18,56,85.0%,85.0%,2.60,B+ (3.47)
,"Weizman, Haim",SP17,76,93.9%,97.0%,3.59,B+ (3.48)
,"Weizman, Haim",SP16,64,87.9%,90.9%,3.77,B+ (3.57)
,"Weizman, Haim",WI15,49,88.2%,100.0%,3.56,B+ (3.70)
,"Theodorakis, Emmanouil",WI15,48,88.2%,29.4%,3.56,B+ (3.70)
,"Whitesell, James K.",WI14,69,95.8%,91.7%,2.85,A (4.00)
,"Nicolaou, Kyriacos C",WI13,53,90.5%,85.7%,4.10,A- (3.79)
,"Nicolaou, Kyriacos C",WI09,97,100.0%,100.0%,3.55,B+ (3.43)
,"Nicolaou, Kyriacos C               ",WI11,86,86.3%,92.2%,4.98,B+ (3.43)
,"Nicolaou, Kyriacos C               ",WI10,106,89.8%,92.0%,4.82,B (3.13)
CHEM 152,"Theodorakis, Emmanuel",FA21,30,100.0%,100.0%,6.28,B+ (3.38)
,"Theodorakis, Emmanuel",FA20,28,77.8%,88.9%,7.83,B (3.14)
,"Theodorakis, Emmanuel",FA19,35,100.0%,100.0%,4.97,B (3.25)
,"Theodorakis, Emmanuel",FA18,59,100.0%,100.0%,4.50,B (3.23)
,"Theodorakis, Emmanuel",FA17,59,84.2%,84.2%,4.10,B (3.15)
,"Theodorakis, Emmanouil",FA16,44,77.3%,81.8%,3.95,B+ (3.48)
,"Theodorakis, Emmanouil",FA15,22,100.0%,100.0%,4.50,A- (3.92)
,"Theodorakis, Emmanouil",FA12,35,88.9%,88.9%,5.39,B+ (3.40)
,"Guerrero, Carlos Ariel",FA14,26,83.3%,83.3%,8.17,B (3.15)
,"Guerrero, Carlos Ariel",FA13,21,75.0%,75.0%,8.00,B- (2.75)
,"Guerrero, Carlos Ariel",FA12,35,66.7%,77.8%,5.61,B+ (3.40)
,"Guerrero, Carlos Ariel             ",FA11,30,53.8%,76.9%,4.83,B (3.00)
,"Theodorakis, Emmanouil             ",FA11,30,60.0%,90.0%,3.50,B (3.00)
,"Theodorakis, Emmanouil             ",FA10,32,93.8%,100.0%,3.25,B+ (3.56)
,"Theodorakis, Emmanouil             ",FA08,17,84.2%,84.2%,5.61,N/A
,"Oconnor, Joseph M.                 ",FA09,22,73.1%,96.2%,3.42,B (3.27)
,"Kobayashi, Yoshihisa               ",FA08,17,84.2%,84.2%,5.61,N/A
,"Theodorakis, Emmanouil        ",FA07,21,78.3%,95.8%,3.98,B (3.29)
CHEM 140BH,"Weizman, Haim",WI17,76,92.3%,92.3%,7.35,B+ (3.65)
,"Weizman, Haim",WI16,64,93.0%,93.0%,8.31,B+ (3.66)
,"Weizman, Haim",WI15,42,100.0%,95.2%,7.55,A- (3.74)
,"Weizman, Haim",WI14,80,97.2%,100.0%,8.06,B+ (3.61)
,"Weizman, Haim",WI13,62,83.3%,90.5%,7.23,A- (3.80)
,"Weizman, Haim",WI09,41,100.0%,97.4%,6.66,A- (3.79)
,"Weizman, Haim                      ",WI12,49,94.3%,97.1%,7.07,B+ (3.61)
,"Weizman, Haim                      ",WI11,48,100.0%,100.0%,7.03,A- (3.75)
,"Weizman, Haim                      ",WI10,49,94.1%,97.1%,6.44,A- (3.81)
,"Weizman, Haim                 ",WI08,24,100.0%,100.0%,8.00,A- (3.89)
CHEM 7LM,"Leigh, Brian",SP20,78,80.9%,95.7%,7.90,B+ (3.54)
,"Brydges, Stacey",SP19,95,82.7%,98.1%,7.67,A- (3.73)
,"Brydges, Stacey",SP17,90,88.6%,93.2%,9.34,B+ (3.57)
,"Brydges, Stacey",SP16,93,95.7%,95.7%,10.85,B+ (3.56)
,"Brydges, Stacey",WI16,77,97.6%,100.0%,8.83,B+ (3.65)
,"Brydges, Stacey",SP15,94,91.1%,91.1%,9.75,B+ (3.58)
,"Brydges, Stacey",WI15,87,83.0%,89.4%,8.50,B+ (3.31)
CHEM 192,"Albizati, Kim F.",FA16,19,100.0%,100.0%,1.83,N/A
,"Albizati, Kim F.",FA15,18,100.0%,100.0%,2.72,N/A
,"Albizati, Kim F.",WI15,18,100.0%,100.0%,0.50,N/A
,"Albizati, Kim F.",FA14,16,100.0%,100.0%,1.17,N/A
,"Albizati, Kim F.",SP14,16,100.0%,100.0%,0.50,N/A
,"Albizati, Kim F.",WI14,11,100.0%,100.0%,0.50,N/A
,"Weizman, Haim",WI14,14,100.0%,100.0%,1.17,N/A
,"Newsam, John",WI13,6,100.0%,100.0%,2.10,N/A
,"Newsam, John                       ",WI12,6,100.0%,100.0%,2.10,N/A
,"Newsam, John                       ",WI10,6,100.0%,100.0%,1.00,N/A
,"Newsam, John                       ",WI09,11,100.0%,100.0%,1.33,N/A
,"Kim, Judy E.                       ",FA09,6,100.0%,100.0%,1.70,N/A
,"Sailor, Michael Joseph",WI09,11,100.0%,100.0%,1.33,N/A
,"Weizman, Haim                      ",FA08,18,100.0%,100.0%,1.12,N/A
,"Sailor, Michael Joseph        ",FA07,16,100.0%,100.0%,1.17,N/A
,"Weizman, Haim                 ",FA07,16,100.0%,100.0%,0.50,N/A
CHEM 40BH,"Weizman, Haim",WI21,80,89.8%,93.9%,8.21,B+ (3.67)
,"Weizman, Haim",WI20,85,91.3%,95.6%,7.85,B+ (3.67)
,"Weizman, Haim",WI19,67,97.4%,97.4%,7.71,B+ (3.50)
,"Weizman, Haim",WI18,54,96.9%,96.9%,7.81,B+ (3.62)
CHEM 100B,"Pomeroy, Robert S.",SP21,26,75.0%,100.0%,7.50,B+ (3.57)
,"Pomeroy, Robert S.",SP21,28,71.4%,100.0%,9.75,B+ (3.33)
,"Pomeroy, Robert S.",WI21,27,71.4%,100.0%,12.50,B+ (3.42)
,"Pomeroy, Robert S.",WI21,32,75.0%,83.3%,9.33,B+ (3.40)
,"Pomeroy, Robert S.",SP20,26,55.6%,87.5%,10.06,B+ (3.50)
,"Pomeroy, Robert S.",WI20,28,75.0%,100.0%,12.25,B (3.29)
,"Pomeroy, Robert S.",WI20,30,77.8%,88.9%,8.30,B+ (3.39)
,"Pomeroy, Robert S.",SP19,23,75.0%,91.7%,9.83,B+ (3.33)
,"Pomeroy, Robert S.",SP19,30,84.6%,84.6%,8.50,B+ (3.33)
,"Pomeroy, Robert S.",WI19,29,90.0%,100.0%,9.50,B+ (3.33)
,"Pomeroy, Robert S.",SP18,30,70.0%,80.0%,8.30,B (3.02)
,"Pomeroy, Robert S.",WI18,23,75.0%,91.7%,7.17,B- (2.87)
,"Pomeroy, Robert S.",WI17,20,100.0%,100.0%,11.00,C+ (2.62)
,"Pomeroy, Robert S.",FA16,14,100.0%,85.7%,9.36,N/A
,"Pomeroy, Robert S.",SP16,20,100.0%,100.0%,5.30,B- (2.98)
,"Pomeroy, Robert S.",WI16,21,100.0%,88.9%,8.06,B (3.13)
,"Pomeroy, Robert S.",SP15,25,87.5%,87.5%,12.50,B- (2.98)
,"Pomeroy, Robert S.",WI15,16,71.4%,85.7%,11.17,N/A
