Course Code,Professor,Quarter,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
,"Nefzi, Adel                   ",SP08,341,84.8%,88.8%,6.94,B- (2.88)
,"Nefzi, Adel                   ",WI08,206,83.1%,95.2%,7.04,C+ (2.47)
,"Nefzi, Adel                   ",SU07,162,86.1%,94.1%,8.21,N/A
,"Hermann, Thomas               ",FA07,249,86.3%,86.4%,6.28,B- (2.76)
CHEM 140B,"Ternansky, Robert J.",S217,82,92.3%,100.0%,12.65,B- (2.76)
,"Ternansky, Robert J.",WI17,128,92.6%,94.1%,9.31,C+ (2.67)
,"Ternansky, Robert J.",WI16,196,87.0%,87.8%,9.39,C+ (2.68)
,"Ternansky, Robert J.",WI14,285,82.0%,89.9%,10.39,C+ (2.67)
,"Weizman, Haim",S117,119,84.6%,100.0%,9.73,B- (2.89)
,"Weizman, Haim",SP17,343,81.7%,86.3%,7.99,B- (2.93)
,"Weizman, Haim",S116,129,86.2%,96.6%,10.57,B- (2.73)
,"Weizman, Haim",SP16,323,72.2%,85.2%,8.48,C+ (2.69)
,"Weizman, Haim",S115,210,88.6%,100.0%,9.59,B- (2.82)
,"Weizman, Haim",S114,113,93.3%,93.3%,12.36,B- (2.83)
,"Weizman, Haim",S113,183,78.0%,95.1%,9.45,B- (2.80)
,"Schmidt, Valerie A",SP17,357,76.1%,81.7%,8.27,B+ (3.31)
,"Albizati, Kim F.",WI17,221,80.5%,90.2%,9.53,B- (2.77)
,"Albizati, Kim F.",WI17,404,84.5%,92.0%,8.38,B- (2.77)
,"Albizati, Kim F.",WI16,407,90.9%,97.8%,8.20,B- (2.72)
,"Albizati, Kim F.",FA14,311,85.6%,98.9%,7.56,C+ (2.57)
,"Hoeger, Carl",WI17,201,81.9%,93.6%,9.73,B- (2.86)
,"Hoeger, Carl",FA16,136,75.5%,84.9%,9.62,C+ (2.63)
,"Hoeger, Carl",WI14,211,80.0%,92.5%,10.09,B- (2.90)
,"Hoeger, Carl",WI14,327,75.4%,83.1%,8.67,B- (2.90)
,"Hoeger, Carl",WI13,234,78.3%,86.7%,9.58,B- (2.87)
,"Theodorakis, Emmanouil",FA16,142,86.5%,89.2%,7.13,C+ (2.66)
,"Theodorakis, Emmanouil",FA15,347,79.8%,90.8%,8.09,B- (2.78)
,"Theodorakis, Emmanouil",WI15,306,75.6%,88.1%,7.61,B (3.00)
,"Theodorakis, Emmanouil",SP14,371,81.6%,94.9%,7.59,C+ (2.65)
,"Theodorakis, Emmanouil",FA12,293,77.2%,86.1%,7.69,C+ (2.68)
,"Theodorakis, Emmanouil",WI09,273,76.6%,93.4%,6.73,C+ (2.65)
,"Oconnor, Joseph M.",S216,155,93.9%,93.9%,13.21,C+ (2.56)
,"Oconnor, Joseph M.",S215,156,69.0%,93.1%,14.22,C+ (2.59)
,"Oconnor, Joseph M.",S214,118,90.9%,90.9%,14.72,B- (2.73)
,"Oconnor, Joseph M.",S213,170,74.2%,93.5%,10.89,C+ (2.61)
,"Siegel, Dionicio R.",SP16,387,92.6%,95.9%,6.94,C+ (2.34)
,"Burkart, Michael D",WI16,376,87.7%,94.4%,8.56,B- (2.72)
,"Burkart, Michael D",WI09,308,79.0%,94.0%,7.01,B- (2.80)
,"Molinski, Tadeusz",SP15,118,60.5%,28.9%,8.55,C+ (2.63)
,"Molinski, Tadeusz",SP13,82,79.3%,24.1%,8.71,C (2.01)
,"Whitesell, James K.",SP15,389,71.9%,48.9%,5.80,B- (2.73)
,"Whitesell, James K.",WI15,267,87.4%,62.1%,6.71,B- (2.73)
,"Whitesell, James K.",SP14,389,76.8%,48.4%,6.52,C+ (2.65)
,"Whitesell, James K.",SP13,334,79.1%,38.3%,7.91,C+ (2.34)
,"Whitesell, James K.",WI13,209,69.9%,42.2%,7.47,C+ (2.35)
,"Whitesell, James K.",WI09,210,74.0%,59.7%,6.20,C+ (2.34)
,"Guerrero, Carlos Ariel",WI15,278,77.5%,73.5%,8.82,C+ (2.55)
,"Guerrero, Carlos Ariel",FA13,229,72.4%,55.1%,8.52,C+ (2.58)
,"Guerrero, Carlos Ariel",WI13,241,79.3%,69.8%,8.85,C+ (2.60)
,"Oconnor, Joseph M.                 ",S212,176,79.2%,95.7%,13.08,C+ (2.52)
,"Oconnor, Joseph M.                 ",S211,172,85.1%,93.6%,10.63,C+ (2.54)
,"Oconnor, Joseph M.                 ",SU10,226,78.7%,100.0%,12.50,N/A
,"Oconnor, Joseph M.                 ",SU09,319,74.1%,96.4%,12.09,N/A
,"Oconnor, Joseph M.                 ",SU08,278,83.6%,96.6%,10.26,N/A
,"Weizman, Haim                      ",S112,166,86.0%,97.6%,10.41,B (3.04)
,"Weizman, Haim                      ",S111,207,83.7%,90.7%,10.79,B- (2.90)
,"Weizman, Haim                      ",SU10,146,84.2%,97.4%,9.50,N/A
,"Whitesell, James K.                ",SP12,359,75.2%,53.1%,7.13,C (2.10)
,"Whitesell, James K.                ",SP12,158,85.7%,53.1%,8.74,C (2.10)
,"Whitesell, James K.                ",SP11,373,75.5%,41.0%,7.07,C+ (2.39)
,"Whitesell, James K.                ",WI11,173,88.9%,63.4%,7.92,C+ (2.61)
,"Burkart, Michael D                 ",WI12,386,81.3%,95.7%,9.37,C+ (2.60)
,"Burkart, Michael D                 ",WI11,379,82.8%,97.0%,9.16,B- (2.75)
,"Burkart, Michael D                 ",WI10,391,83.9%,96.3%,7.85,B- (2.88)
,"Hoeger, Carl                       ",WI12,205,85.3%,93.7%,8.67,B- (2.89)
,"Hoeger, Carl                       ",FA10,273,74.6%,89.6%,9.86,C+ (2.62)
,"Hoeger, Carl                       ",SP10,361,70.1%,79.6%,9.00,C+ (2.53)
,"Hoeger, Carl                       ",SP10,350,73.0%,82.6%,8.69,C+ (2.53)
,"Hoeger, Carl                       ",WI10,277,86.6%,90.6%,9.32,C+ (2.62)
,"Johnson, Christina A               ",WI12,373,84.6%,90.7%,9.84,B- (2.79)
,"Theodorakis, Emmanouil             ",FA11,334,87.9%,95.5%,7.54,C+ (2.62)
,"Theodorakis, Emmanouil             ",WI11,340,84.7%,90.7%,8.52,B- (2.80)
,"Theodorakis, Emmanouil             ",WI10,365,70.2%,82.3%,8.29,C+ (2.60)
,"Molinski, Tadeusz                  ",SP11,202,81.7%,24.4%,8.33,C+ (2.56)
,"Molinski, Tadeusz                  ",SP09,318,69.3%,46.7%,7.43,C+ (2.32)
,"Kobayashi, Yoshihisa               ",FA09,344,69.4%,39.3%,6.83,C+ (2.50)
,"Kobayashi, Yoshihisa               ",FA08,262,76.6%,40.3%,6.63,C+ (2.55)
,"Glazer, Edith C                    ",SP09,194,64.8%,63.9%,9.47,C+ (2.52)
,"Nefzi, Adel                   ",SP08,307,81.4%,93.8%,6.01,C+ (2.50)
,"Nefzi, Adel                   ",WI08,338,82.5%,95.3%,6.82,C+ (2.60)
,"La Clair, James J.            ",SP08,266,78.5%,77.5%,5.56,B+ (3.47)
,"Oconnor, Joseph M.            ",WI08,301,78.0%,96.3%,7.01,C+ (2.65)
,"Burkart, Michael D            ",WI08,137,84.8%,94.9%,6.44,B- (2.89)
CHEM 140A,"Barnhill, Sarah Anne",S217,110,87.1%,93.3%,8.56,N/A
,"Lacoske, Michelle Hill",S117,150,71.0%,77.4%,9.47,B- (2.83)
,"Hoeger, Carl",SP17,242,85.6%,87.8%,8.22,B- (2.85)
,"Bertrand, Guy",WI17,365,96.8%,97.8%,6.51,B- (2.83)
,"Bertrand, Guy",WI16,376,90.6%,97.2%,6.83,B- (2.75)
,"Bertrand, Guy",WI15,408,92.6%,96.9%,6.18,B- (2.78)
,"Bertrand, Guy",WI14,303,93.7%,96.8%,6.94,B- (2.74)
,"Bertrand, Guy",WI13,328,88.7%,93.7%,6.16,B- (2.74)
,"Gianneschi, Nathan",WI17,263,73.9%,71.3%,8.52,C+ (2.60)
,"Gianneschi, Nathan",WI16,272,80.0%,62.0%,8.33,B- (2.78)
,"Gianneschi, Nathan",WI15,320,86.1%,75.4%,7.41,C+ (2.45)
,"Gianneschi, Nathan",WI09,330,84.4%,86.8%,7.60,C+ (2.58)
,"Oconnor, Joseph M.",FA16,381,81.1%,76.7%,9.47,B- (2.76)
,"Oconnor, Joseph M.",S216,23,80.0%,70.0%,9.90,B (3.25)
,"Oconnor, Joseph M.",FA15,392,83.9%,87.9%,9.65,B- (2.72)
,"Oconnor, Joseph M.",S115,141,77.8%,85.2%,11.02,C+ (2.68)
,"Oconnor, Joseph M.",FA14,362,77.1%,80.7%,10.08,B- (2.81)
,"Oconnor, Joseph M.",S114,132,92.0%,92.0%,12.33,B- (2.80)
,"Oconnor, Joseph M.",FA13,388,80.6%,88.0%,9.51,B- (2.80)
,"Oconnor, Joseph M.",S113,107,82.6%,87.0%,10.15,B- (2.81)
,"Oconnor, Joseph M.",FA12,318,93.0%,89.1%,9.73,B- (2.74)
,"Yang, Jerry",FA16,193,76.5%,66.7%,8.38,C+ (2.65)
,"Yang, Jerry",FA15,257,86.8%,84.0%,8.44,B- (2.79)
,"Yang, Jerry",FA14,264,84.0%,63.8%,7.98,C+ (2.62)
,"Yang, Jerry",FA13,341,81.9%,74.2%,8.75,C+ (2.60)
,"Yang, Jerry",WI09,368,84.3%,93.5%,7.39,C+ (2.64)
,"Ternansky, Robert J.",FA16,188,86.3%,86.3%,9.79,B- (2.70)
,"Ternansky, Robert J.",S216,69,81.0%,92.9%,14.50,C+ (2.63)
,"Ternansky, Robert J.",SP16,209,78.6%,82.5%,9.85,C+ (2.67)
,"Ternansky, Robert J.",FA15,248,80.4%,69.6%,10.78,C+ (2.68)
,"Ternansky, Robert J.",S215,68,73.9%,82.6%,16.41,B- (2.79)
,"Ternansky, Robert J.",SP15,218,74.4%,79.1%,9.86,C+ (2.60)
,"Ternansky, Robert J.",FA14,214,86.2%,89.9%,10.01,B- (2.74)
,"Ternansky, Robert J.",S214,58,90.6%,93.8%,14.06,C+ (2.63)
,"Ternansky, Robert J.",FA13,244,92.9%,91.5%,10.90,C+ (2.66)
,"Ternansky, Robert J.",S213,54,100.0%,100.0%,15.41,C+ (2.69)
,"Ternansky, Robert J.",FA12,244,90.1%,85.8%,9.95,B- (2.72)
,"Perrin, Charles L.",FA16,349,82.7%,83.2%,8.49,C+ (2.66)
,"Perrin, Charles L.",FA15,341,82.0%,91.9%,8.71,B- (2.75)
,"Perrin, Charles L.",FA13,193,88.8%,84.3%,8.93,C+ (2.62)
,"Perrin, Charles L.",FA12,320,77.4%,88.0%,8.39,C+ (2.59)
,"Albizati, Kim F.",FA16,158,96.2%,98.7%,7.73,C+ (2.61)
,"Albizati, Kim F.",WI14,413,91.0%,99.4%,7.57,C+ (2.63)
,"Albizati, Kim F.",SP13,336,91.9%,98.4%,7.05,B- (2.73)
,"Boerneke, Mark Andrew",S116,167,87.1%,95.0%,11.16,B- (2.73)
,"Hammons, Justin Charles",S215,25,100.0%,90.9%,13.55,B+ (3.32)
,"Reyes-Rodriguez, Gabriel J",FA14,352,88.2%,91.1%,8.28,B- (2.71)
,"Whitesell, James K.",SP14,245,78.1%,51.6%,6.56,C+ (2.54)
,"Whitesell, James K.",WI13,198,80.8%,52.6%,7.88,C (2.08)
,"Opella, Stanley J",FA12,61,89.3%,75.0%,7.07,C+ (2.58)
,"Albizati, Kim F.                   ",S212,119,96.9%,100.0%,10.38,C+ (2.64)
,"Albizati, Kim F.                   ",S112,137,88.2%,97.1%,11.36,N/A
,"Albizati, Kim F.                   ",S211,104,93.0%,100.0%,12.27,C+ (2.57)
,"Albizati, Kim F.                   ",WI11,320,89.2%,100.0%,7.82,C+ (2.52)
,"Albizati, Kim F.                   ",WI11,313,89.4%,97.9%,8.06,C+ (2.52)
,"Albizati, Kim F.                   ",FA09,296,91.1%,99.2%,7.05,B- (2.72)
,"Albizati, Kim F.                   ",FA08,201,91.3%,99.3%,5.86,B- (2.72)
,"Oconnor, Joseph M.                 ",S112,137,88.2%,97.1%,11.36,C+ (2.61)
,"Oconnor, Joseph M.                 ",FA11,397,85.8%,90.5%,9.46,C+ (2.69)
,"Oconnor, Joseph M.                 ",S111,131,100.0%,100.0%,11.47,C+ (2.66)
,"Oconnor, Joseph M.                 ",FA10,378,85.1%,95.0%,9.06,C+ (2.68)
,"Oconnor, Joseph M.                 ",SU10,193,84.1%,98.4%,12.66,N/A
,"Oconnor, Joseph M.                 ",WI10,385,82.2%,92.2%,8.62,C+ (2.60)
,"Oconnor, Joseph M.                 ",SU09,224,89.8%,97.9%,12.21,N/A
,"Oconnor, Joseph M.                 ",SP09,337,96.0%,92.3%,6.81,C+ (2.41)
,"Oconnor, Joseph M.                 ",SU08,167,85.5%,99.1%,10.54,N/A
,"Yang, Jerry                        ",SP12,227,85.7%,79.4%,9.26,C+ (2.57)
,"Yang, Jerry                        ",SP11,290,92.5%,89.8%,8.98,C+ (2.61)
,"Yang, Jerry                        ",SP10,299,82.4%,83.9%,7.83,C+ (2.41)
,"Gianneschi, Nathan                 ",WI12,195,88.3%,87.0%,9.75,B- (2.72)
,"Gianneschi, Nathan                 ",WI12,303,88.0%,84.2%,8.35,B- (2.72)
,"Gianneschi, Nathan                 ",WI11,154,88.3%,95.0%,8.37,C+ (2.48)
,"Gianneschi, Nathan                 ",WI10,359,84.4%,88.7%,8.10,C+ (2.47)
,"Opella, Stanley J                  ",WI12,85,87.5%,65.6%,6.69,C+ (2.54)
,"Ternansky, Robert J.               ",FA11,219,82.3%,76.1%,11.79,C+ (2.66)
,"Ternansky, Robert J.               ",FA10,256,91.9%,88.4%,11.60,C+ (2.68)
,"Ternansky, Robert J.               ",FA09,215,83.2%,95.3%,9.49,B- (2.72)
,"Ternansky, Robert J.               ",FA08,201,79.5%,91.2%,10.14,B- (2.71)
,"Ternansky, Robert J.               ",SU08,52,80.6%,97.2%,15.28,N/A
,"Whitesell, James K.                ",FA11,127,73.1%,52.9%,8.07,C+ (2.32)
,"Whitesell, James K.                ",FA10,172,96.2%,73.1%,7.75,C+ (2.39)
,"Whitesell, James K.                ",WI10,142,82.4%,55.9%,6.97,C+ (2.37)
,"Whitesell, James K.                ",FA09,176,81.2%,60.9%,6.41,C (2.19)
,"Whitesell, James K.                ",FA08,270,73.5%,48.8%,6.57,C+ (2.44)
,"Hoeger, Carl                       ",FA11,374,87.5%,87.5%,8.94,B- (2.80)
,"Perrin, Charles L.                 ",FA10,369,85.5%,90.6%,8.99,C+ (2.65)
,"Perrin, Charles L.                 ",FA09,336,91.8%,96.0%,7.20,C+ (2.68)
,"Glazer, Edith C                    ",FA08,236,80.1%,82.3%,8.70,C+ (2.49)
,"Ternansky, Robert J.          ",SP08,286,82.1%,88.7%,8.01,C+ (2.69)
,"Ternansky, Robert J.          ",FA07,245,89.7%,94.2%,10.21,C+ (2.68)
,"Ternansky, Robert J.          ",SU07,140,88.7%,94.3%,11.99,N/A
,"Whitesell, James K.           ",WI08,377,81.8%,71.6%,5.65,C+ (2.56)
,"Oconnor, Joseph M.            ",WI08,360,89.2%,98.5%,6.23,C+ (2.52)
,"Yang, Jerry                   ",FA07,350,82.1%,90.1%,7.33,C+ (2.66)
,"Perrin, Charles L.            ",FA07,322,86.3%,95.3%,7.19,C+ (2.51)
CHEM 133,"Galperin, Michael",SP14,81,54.8%,74.2%,11.63,C+ (2.49)
,"Galperin, Michael",SP13,102,42.4%,54.5%,9.63,C+ (2.58)
,"Galperin, Michael                  ",FA11,68,57.6%,73.5%,10.21,C+ (2.67)
,"Galperin, Michael                  ",FA10,54,51.9%,66.7%,9.98,C+ (2.48)
,"Galperin, Michael                  ",SP10,60,38.7%,41.9%,8.11,B+ (3.41)
,"Sinha, Amitabha                    ",SP09,74,51.4%,83.3%,8.39,C+ (2.57)
,"Sinha, Amitabha               ",SP08,70,70.7%,90.0%,8.55,C+ (2.34)
CHEM 132,"Xiong, Wei",SP21,92,80.0%,93.3%,8.91,B (3.00)
,"Xiong, Wei",SP19,80,70.4%,92.3%,8.04,B- (2.78)
,"Xiong, Wei",SP18,72,84.6%,96.2%,6.65,B (3.06)
,"Gibbard, Jemma Alice",SP20,94,65.2%,56.5%,7.20,B (3.23)
,"Galperin, Michael",SP17,49,60.9%,91.3%,8.85,C+ (2.61)
,"Galperin, Michael",SP16,42,73.9%,82.6%,7.77,B- (2.77)
,"Galperin, Michael",SP15,35,71.4%,100.0%,6.65,C+ (2.67)
,"Galperin, Michael",WI13,92,84.1%,79.5%,8.31,C+ (2.61)
,"Lindenberg, Katja",WI14,80,73.5%,85.3%,8.32,C+ (2.48)
,"Lindenberg, Katja",WI09,103,54.2%,69.5%,7.25,C+ (2.51)
,"Galperin, Michael                  ",SP12,96,75.0%,82.1%,7.50,C+ (2.51)
,"Lindenberg, Katja                  ",SP11,95,61.0%,68.3%,8.64,C+ (2.49)
,"Lindenberg, Katja                  ",WI10,79,82.9%,91.4%,8.04,C+ (2.50)
,"Lindenberg, Katja             ",WI08,109,75.7%,86.5%,8.31,C+ (2.44)
CHEM 131,"Galperin, Michael",WI21,114,82.9%,90.2%,8.21,B- (2.81)
,"Galperin, Michael",WI20,112,75.0%,85.7%,8.50,C+ (2.54)
,"Weare, John H.",WI19,92,24.3%,16.2%,7.36,B- (2.98)
,"Weare, John H.",WI18,85,37.1%,25.7%,5.81,B (3.08)
,"Weare, John H.",WI17,63,37.9%,10.3%,8.98,B (3.08)
,"Weare, John H.",WI16,54,53.1%,34.4%,7.47,B (3.22)
,"Weare, John H.",WI15,62,63.3%,20.0%,8.09,B- (2.93)
,"Paesani, Francesco",FA13,135,76.9%,86.2%,7.78,C+ (2.64)
,"Paesani, Francesco",FA12,139,81.3%,92.2%,8.08,C+ (2.58)
,"Paesani, Francesco                 ",WI12,127,78.5%,75.4%,8.47,C+ (2.47)
,"Paesani, Francesco                 ",WI11,127,73.0%,81.0%,7.92,C+ (2.56)
,"Lindenberg, Katja                  ",FA09,100,69.1%,80.9%,9.08,C+ (2.37)
,"Lindenberg, Katja                  ",FA08,120,55.1%,79.6%,8.38,C+ (2.40)
,"Lindenberg, Katja             ",FA07,125,76.3%,82.1%,9.13,C+ (2.48)
CHEM 96,"Bussey, Thomas J",FA21,19,100.0%,100.0%,2.14,N/A
,"Bussey, Thomas J",SP21,12,100.0%,100.0%,3.17,N/A
,"Bussey, Thomas J",FA20,17,100.0%,100.0%,4.14,N/A
,"Bussey, Thomas J",SP20,19,100.0%,100.0%,3.17,N/A
,"Bussey, Thomas J",FA19,8,100.0%,100.0%,3.30,N/A
,"Bussey, Thomas J",SP19,23,100.0%,100.0%,3.61,B+ (3.58)
,"Bussey, Thomas J",FA18,14,100.0%,100.0%,4.50,N/A
,"Bussey, Thomas J",SP18,23,100.0%,100.0%,3.12,A- (3.70)
,"Bussey, Thomas J",FA17,13,100.0%,100.0%,5.50,N/A
,"Bussey, Thomas J",SP17,19,100.0%,100.0%,3.07,N/A
,"Bussey, Thomas J",SP16,10,100.0%,100.0%,4.00,N/A
,"Bussey, Thomas J",WI16,15,100.0%,100.0%,3.23,N/A
,"Bussey, Thomas J",SP15,6,100.0%,100.0%,3.00,N/A
,"Bussey, Thomas J",WI15,10,100.0%,100.0%,4.10,N/A
,"Czworkowski, John",SP14,6,75.0%,75.0%,4.00,N/A
,"Czworkowski, John",WI14,9,100.0%,100.0%,2.50,N/A
,"Czworkowski, John",SP13,11,100.0%,100.0%,2.50,N/A
,"Czworkowski, John",WI13,10,75.0%,100.0%,3.50,N/A
,"Czworkowski, John",WI09,18,100.0%,93.3%,2.88,N/A
,"Czworkowski, John                  ",SP12,10,80.0%,100.0%,2.50,N/A
,"Czworkowski, John                  ",WI12,12,100.0%,100.0%,3.50,N/A
,"Czworkowski, John                  ",SP11,15,100.0%,100.0%,3.10,N/A
,"Czworkowski, John                  ",WI11,18,87.5%,100.0%,3.50,N/A
,"Czworkowski, John                  ",SP10,12,100.0%,100.0%,4.50,N/A
,"Czworkowski, John                  ",WI10,15,87.5%,100.0%,3.93,N/A
,"Czworkowski, John                  ",SP09,13,100.0%,100.0%,3.00,N/A
,"Czworkowski, John             ",SP08,9,88.9%,100.0%,2.06,N/A
,"Czworkowski, John             ",WI08,11,100.0%,100.0%,3.05,N/A
CHEM 93,"Makale, Milan Theodore",SP19,26,100.0%,100.0%,1.93,B+ (3.51)
,"Kummel, Andrew C",SP17,7,100.0%,100.0%,4.10,N/A
,"Kummel, Andrew C",SP16,12,100.0%,80.0%,7.70,N/A
,"Kummel, Andrew C",SP15,5,100.0%,100.0%,4.50,N/A
,"Malake, Milan",SP17,7,100.0%,100.0%,4.10,N/A
CHEM 134,"Pokorski, Jonathan Kyle",WI20,13,100.0%,100.0%,5.83,N/A
,"Lipomi, Darren John",SP17,8,100.0%,66.7%,4.50,N/A
CHEM 15,"Rubinshtein, Mark                  ",WI12,44,100.0%,95.5%,3.68,B (3.21)
,"Moore, Amy Lea                     ",WI11,59,79.3%,89.7%,3.30,B- (2.97)
,"Wilson, Beth                       ",WI10,66,78.3%,60.9%,2.41,B (3.26)
,"Glazer, Edith C",WI09,49,76.2%,73.8%,2.69,B+ (3.39)
,"Glazer, Edith C               ",WI08,55,86.0%,88.4%,3.06,B+ (3.33)
CHEM 11,"Wang, Wei",FA21,249,88.3%,82.1%,3.94,B+ (3.62)
,"Wang, Wei",SP21,247,93.8%,91.7%,4.69,B+ (3.60)
,"Wang, Wei",SP20,302,92.9%,91.7%,4.33,A- (3.70)
,"Wang, Wei",SP19,276,80.5%,80.5%,4.12,B (3.05)
,"Wang, Wei",SP18,242,84.2%,88.8%,3.92,B (3.13)
,"Wang, Wei",SP17,204,81.1%,79.0%,4.59,B- (3.00)
,"Wang, Wei",SP16,199,81.2%,72.9%,4.05,B (3.13)
,"Wang, Wei",SP15,158,75.4%,56.1%,4.08,B- (2.95)
,"Schurmeier, Kimberly",S121,82,96.6%,100.0%,5.50,B+ (3.64)
,"Schurmeier, Kimberly",S120,62,97.7%,97.7%,6.32,B+ (3.67)
,"Mrse, Anthony Adrian",FA20,344,94.3%,98.1%,5.39,B+ (3.55)
,"Mrse, Anthony Adrian",FA19,297,86.2%,93.1%,3.83,B- (2.84)
,"Mrse, Anthony Adrian",FA18,250,85.8%,91.9%,4.68,B- (2.76)
,"Mrse, Anthony Adrian",FA17,210,87.7%,87.7%,5.42,B- (2.79)
,"Mrse, Anthony Adrian",FA16,202,70.5%,76.9%,5.06,B (3.17)
,"Berg, Kyle Robert",S119,28,84.2%,100.0%,6.80,B (3.19)
,"Finzel, Kara",S116,43,87.5%,93.8%,5.25,B- (2.90)
,"Brydges, Stacey",FA15,197,90.9%,98.9%,4.91,B (3.22)
,"Brydges, Stacey",SP14,184,89.7%,98.9%,4.38,B+ (3.30)
,"Brydges, Stacey",FA12,146,97.2%,97.2%,5.40,B+ (3.36)
,"Brydges, Stacey",FA12,159,88.2%,94.7%,4.50,B+ (3.36)
,"Dembinski, Holly",S115,27,100.0%,100.0%,5.88,B+ (3.64)
,"Dibrov, Sergey M",FA14,266,69.6%,64.3%,4.68,B (3.14)
,"Lennox, Joseph",FA13,204,82.4%,79.5%,4.78,B (3.27)
,"Lennox, Joseph",SP13,148,87.3%,84.7%,5.15,B (3.19)
,"Brydges, Stacey                    ",S112,19,100.0%,100.0%,8.06,N/A
,"Brydges, Stacey                    ",FA11,193,80.6%,93.2%,5.82,B (3.23)
,"Brydges, Stacey                    ",FA11,167,83.7%,93.9%,4.93,B (3.23)
,"Brydges, Stacey                    ",S111,31,100.0%,100.0%,9.41,B- (2.86)
,"Brydges, Stacey                    ",FA10,141,83.3%,95.8%,5.28,B (3.23)
,"Brydges, Stacey                    ",FA10,144,85.1%,97.3%,5.31,B (3.23)
,"Brydges, Stacey                    ",FA09,210,77.6%,85.8%,3.57,B (3.23)
,"Brydges, Stacey                    ",FA09,213,84.6%,95.6%,3.98,B (3.23)
,"Rubinshtein, Mark                  ",SP12,151,93.9%,89.8%,4.63,B (3.12)
,"Donoghue, Daniel J.                ",SP11,139,95.0%,98.3%,3.38,B- (2.90)
,"Donoghue, Daniel J.                ",SP10,158,85.7%,95.2%,3.98,B (3.18)
,"Crowley, Thomas E.                 ",FA08,169,73.6%,49.3%,2.36,B+ (3.31)
,"Pomeroy, Robert S.                 ",FA08,181,82.7%,91.8%,3.85,C+ (2.66)
,"Dipasquale, Antonio           ",FA07,102,93.4%,95.1%,3.58,B+ (3.34)
,"Donoghue, Daniel J.           ",FA07,307,96.2%,99.4%,3.44,B (3.28)
CHEM 13,"Hoeger, Carl",SP21,30,100.0%,88.9%,7.83,B- (2.98)
,"Opella, Stanley J",SP18,60,62.5%,66.7%,3.94,C+ (2.59)
,"Opella, Stanley J",SP17,13,80.0%,60.0%,3.70,N/A
,"Opella, Stanley J",SP16,60,44.4%,55.6%,4.57,B- (2.91)
,"Opella, Stanley J",SP15,51,62.5%,87.5%,4.00,B- (2.95)
,"Opella, Stanley J",SP14,63,75.0%,75.0%,4.40,B- (2.81)
,"Swift, Robert Vernon",SP13,81,72.2%,94.4%,3.70,B+ (3.49)
,"Hoeger, Carl                       ",SP12,137,64.7%,84.0%,5.64,B (3.10)
,"Joseph, Simpson                    ",SP11,139,78.0%,91.8%,3.86,B+ (3.42)
,"Joseph, Simpson                    ",SP10,145,81.7%,88.3%,4.60,B (3.11)
,"Crowley, Thomas E.                 ",SP09,138,29.8%,27.2%,2.50,B+ (3.30)
,"Joseph, Simpson               ",SP08,173,83.5%,91.8%,3.27,B- (2.88)
CHEM 12,"Huang, Xuemei",WI21,59,85.7%,85.7%,4.36,B+ (3.52)
,"Huang, Xuemei",WI20,54,83.3%,88.9%,6.39,B (3.14)
,"Huang, Xuemei",WI19,60,77.3%,86.4%,4.95,B- (2.96)
,"Huang, Xuemei",WI18,73,72.7%,84.8%,5.03,B+ (3.33)
,"Hoeger, Carl",S120,16,100.0%,100.0%,6.00,N/A
,"Hoeger, Carl",WI17,84,82.1%,89.7%,5.24,B+ (3.34)
,"Luthi, Andrea J",S216,13,83.3%,91.7%,5.59,N/A
,"Dibrov, Sergey M",WI16,152,75.0%,78.7%,4.40,C+ (2.64)
,"Dibrov, Sergey M",WI15,149,69.6%,75.2%,4.60,B- (2.78)
,"Blum, Angela Patricia",S214,18,100.0%,100.0%,4.04,N/A
,"Fry, Nicole L",WI14,152,63.6%,59.1%,4.50,B (3.24)
,"Rios, Andro C",S113,23,88.9%,100.0%,4.50,B+ (3.43)
,"Lennox, Joseph",WI13,152,44.6%,59.8%,5.23,B (3.17)
,"Nakagawa, Terunaga                 ",WI12,191,49.4%,39.7%,5.46,B+ (3.56)
,"Nakagawa, Terunaga                 ",WI11,158,57.1%,52.4%,4.47,B (3.29)
,"Nakagawa, Terunaga                 ",WI10,174,41.1%,32.4%,4.45,B (3.28)
,"Nakagawa, Terunaga",WI09,164,58.8%,47.1%,4.00,B+ (3.30)
,"Nakagawa, Terunaga            ",WI08,154,39.8%,32.1%,3.92,B- (2.78)
CHEM 186,"Gilson, Michael K.",SP21,15,100.0%,100.0%,8.00,N/A
CHEM 187,"Bussey, Thomas J",WI21,12,100.0%,100.0%,4.21,N/A
,"Bussey, Thomas J",WI19,14,100.0%,100.0%,4.50,N/A
,"Bussey, Thomas J",WI18,14,100.0%,100.0%,4.50,N/A
,"Bussey, Thomas J",WI17,8,100.0%,100.0%,4.10,N/A
,"Bussey, Thomas J",WI16,5,100.0%,100.0%,4.50,N/A
,"Bussey, Thomas J",WI15,6,100.0%,100.0%,6.50,N/A
,"Schnoebelen, Carly Lynn",WI20,18,100.0%,100.0%,6.50,N/A
,"Czworkowski, John",WI14,11,87.5%,87.5%,3.93,N/A
,"Czworkowski, John",WI13,8,100.0%,100.0%,3.30,N/A
,"Czworkowski, John",WI09,9,100.0%,100.0%,3.75,N/A
