Course Code,Professor,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
MUS 87,"Guy, Nancy",8,100.0%,100.0%,1.50,N/A
MUS 87,"Guy, Nancy",8,100.0%,100.0%,1.50,N/A
,"Dresser, Mark Stuart",8,100.0%,100.0%,1.83,N/A
,"Dresser, Mark Stuart",8,100.0%,100.0%,1.83,N/A
,"Dresser, Mark Stuart",8,100.0%,100.0%,1.83,N/A
,"Dresser, Mark Stuart",8,100.0%,100.0%,1.83,N/A
,"Borgo, David Garcia",21,100.0%,100.0%,0.94,N/A
,"Dubnov, Shlomo",10,75.0%,75.0%,1.00,N/A
,"Dubnov, Shlomo",10,75.0%,75.0%,1.00,N/A
,"Dubnov, Shlomo",10,75.0%,75.0%,1.00,N/A
,"Lytle, Cecil William",8,100.0%,100.0%,0.50,N/A
,"Stevens, Jane",9,100.0%,100.0%,1.17,N/A
,"Schick, Steven",17,83.3%,100.0%,0.90,N/A
,"Schick, Steven",17,83.3%,100.0%,0.90,N/A
,"Schick, Steven",17,83.3%,100.0%,0.90,N/A
,"Schick, Steven",17,83.3%,100.0%,0.90,N/A
,"Narucki, Susan M",9,83.3%,83.3%,1.17,N/A
,"Narucki, Susan M",9,83.3%,83.3%,1.17,N/A
,"Narucki, Susan M",9,83.3%,83.3%,1.17,N/A
,"Narucki, Susan M",9,83.3%,83.3%,1.17,N/A
,"Narucki, Susan M",9,83.3%,83.3%,1.17,N/A
,"Narucki, Susan M",9,83.3%,83.3%,1.17,N/A
,"Karis, Aleck",17,100.0%,100.0%,0.72,N/A
,"Karis, Aleck",17,100.0%,100.0%,0.72,N/A
,"Steiger, Rand",11,100.0%,100.0%,1.36,N/A
,"Steiger, Rand",11,100.0%,100.0%,1.36,N/A
,"Steiger, Rand",11,100.0%,100.0%,1.36,N/A
,"Steiger, Rand                      ",18,100.0%,100.0%,1.42,N/A
,"Steiger, Rand                      ",18,100.0%,100.0%,1.42,N/A
,"Steiger, Rand                      ",18,100.0%,100.0%,1.42,N/A
,"Steiger, Rand                      ",18,100.0%,100.0%,1.42,N/A
,"Steiger, Rand                      ",18,100.0%,100.0%,1.42,N/A
,"Steiger, Rand                      ",18,100.0%,100.0%,1.42,N/A
,"Steiger, Rand                      ",18,100.0%,100.0%,1.42,N/A
,"Guy, Nancy                         ",15,100.0%,100.0%,0.94,N/A
,"Guy, Nancy                         ",15,100.0%,100.0%,0.94,N/A
,"Guy, Nancy                         ",15,100.0%,100.0%,0.94,N/A
,"Guy, Nancy                         ",15,100.0%,100.0%,0.94,N/A
,"Narucki, Susan M                   ",19,100.0%,100.0%,1.33,N/A
,"Stevens, Jane                      ",11,66.7%,83.3%,1.83,N/A
,"Stevens, Jane                      ",11,66.7%,83.3%,1.83,N/A
,"Borgo, David Garcia                ",20,63.6%,90.9%,2.86,N/A
,"Borgo, David Garcia                ",20,63.6%,90.9%,2.86,N/A
,"Borgo, David Garcia                ",20,63.6%,90.9%,2.86,N/A
,"Schick, Steven                     ",15,100.0%,100.0%,0.50,N/A
,"Schick, Steven                     ",15,100.0%,100.0%,0.50,N/A
,"Schick, Steven                     ",15,100.0%,100.0%,0.50,N/A
,"Schick, Steven                     ",15,100.0%,100.0%,0.50,N/A
,"Schick, Steven                     ",15,100.0%,100.0%,0.50,N/A
,"Schick, Steven                     ",15,100.0%,100.0%,0.50,N/A
,"Jung, Eun-Young                    ",9,100.0%,100.0%,0.72,N/A
,"Jung, Eun-Young                    ",9,100.0%,100.0%,0.72,N/A
,"Jung, Eun-Young                    ",9,100.0%,100.0%,0.72,N/A
,"Jung, Eun-Young                    ",9,100.0%,100.0%,0.72,N/A
,"Marzullo, Keith                    ",15,100.0%,100.0%,4.06,N/A
,"Marzullo, Keith                    ",15,100.0%,100.0%,4.06,N/A
,"Marzullo, Keith                    ",15,100.0%,100.0%,4.06,N/A
,"Marzullo, Keith                    ",15,100.0%,100.0%,4.06,N/A
,"Marzullo, Keith                    ",15,100.0%,100.0%,4.06,N/A
,"Marzullo, Keith                    ",15,100.0%,100.0%,4.06,N/A
,"Marzullo, Keith                    ",15,100.0%,100.0%,4.06,N/A
,"Liang, Lei                         ",9,100.0%,100.0%,0.72,N/A
,"Schick, Steven                ",14,100.0%,100.0%,0.50,N/A
,"Karis, Aleck                  ",14,100.0%,100.0%,0.86,N/A
,"Borgo, David Garcia           ",13,84.6%,92.3%,1.42,N/A
,"Borgo, David Garcia           ",13,84.6%,92.3%,1.42,N/A
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
MUS 137A,"Kenyatta, Kamau",31,93.8%,93.8%,4.25,B+ (3.66)
,"Kenyatta, Kamau                    ",20,100.0%,100.0%,2.14,A- (3.89)
,"Kenyatta, Kamau                    ",20,100.0%,100.0%,2.14,A- (3.89)
,"Kenyatta, Kamau                    ",20,100.0%,100.0%,2.14,A- (3.89)
,"Kenyatta, Kamau                    ",20,100.0%,100.0%,2.14,A- (3.89)
,"Kenyatta, Kamau               ",23,100.0%,100.0%,3.06,A- (3.76)
LTEN 127B,"Loose, Margaret                    ",38,100.0%,96.4%,5.76,B (3.14)
LTEN 127B,"Loose, Margaret                    ",38,100.0%,96.4%,5.76,B (3.14)
,"Loose, Margaret               ",33,96.4%,100.0%,4.50,B- (2.95)
LTEN 127A,"Loose, Margaret                    ",23,100.0%,100.0%,4.50,B+ (3.49)
,"Loose, Margaret",24,95.2%,95.2%,5.59,B+ (3.42)
POLI 181B,"Cornelius, Wayne A",15,100.0%,100.0%,6.97,N/A
POLI 181A,"Cornelius, Wayne A                 ",20,100.0%,100.0%,11.79,A- (3.97)
,"Fitzgerald, David S                ",20,100.0%,100.0%,11.79,A- (3.97)
,"Cornelius, Wayne A            ",20,100.0%,100.0%,5.92,A- (3.98)
CGS 137,"Perez, Crystal Roxana Ramirez",11,100.0%,100.0%,5.00,N/A
,"Hernandez, Jillian",12,100.0%,100.0%,5.07,N/A
POLI 100A,"Jiang, Jiying",36,100.0%,85.7%,6.50,A- (3.71)
,"Hulme, Michael P",50,100.0%,100.0%,6.10,B+ (3.59)
,"Liu, Huchen",33,100.0%,100.0%,5.50,B+ (3.43)
,"Roth, Skyler Elijah Maclean",28,100.0%,100.0%,5.90,B+ (3.53)
,"Roth, Skyler Elijah Maclean",28,100.0%,100.0%,5.90,B+ (3.53)
,"Vakilifathi, Mona Roseann",125,90.9%,93.9%,4.50,B (3.16)
,"Vakilifathi, Mona Roseann",125,90.9%,93.9%,4.50,B (3.16)
,"Levitt, Justin M",42,100.0%,90.0%,4.72,B+ (3.49)
,"Childers, Matthew A.               ",230,93.7%,89.7%,5.56,B (3.21)
,"Binder, Michael M                  ",52,100.0%,100.0%,7.21,N/A
,"Ingram, James Warren               ",126,80.0%,64.4%,5.23,B- (2.82)
,"Ingram, James Warren          ",120,92.4%,90.9%,4.59,B+ (3.33)
,"Arrington, Randall            ",32,85.7%,81.0%,4.41,N/A
CHEM 186,"Gilson, Michael K.",15,100.0%,100.0%,8.00,N/A
CHEM 187,"Bussey, Thomas J",12,100.0%,100.0%,4.21,N/A
CHEM 187,"Bussey, Thomas J",12,100.0%,100.0%,4.21,N/A
CHEM 187,"Bussey, Thomas J",12,100.0%,100.0%,4.21,N/A
CHEM 187,"Bussey, Thomas J",12,100.0%,100.0%,4.21,N/A
CHEM 187,"Bussey, Thomas J",12,100.0%,100.0%,4.21,N/A
CHEM 187,"Bussey, Thomas J",12,100.0%,100.0%,4.21,N/A
,"Schnoebelen, Carly Lynn",18,100.0%,100.0%,6.50,N/A
,"Czworkowski, John",11,87.5%,87.5%,3.93,N/A
,"Czworkowski, John",11,87.5%,87.5%,3.93,N/A
,"Czworkowski, John",11,87.5%,87.5%,3.93,N/A
,"Czworkowski, John",11,87.5%,87.5%,3.93,N/A
,"Czworkowski, John                  ",13,80.0%,80.0%,4.10,N/A
,"Czworkowski, John                  ",13,80.0%,80.0%,4.10,N/A
,"Czworkowski, John                  ",13,80.0%,80.0%,4.10,N/A
HITO 156GS,"Patterson, Patrick H.",21,66.7%,100.0%,5.83,A- (3.76)
CHEM 185,"Weare, John H.",13,50.0%,50.0%,7.17,N/A
CHEM 185,"Weare, John H.",13,50.0%,50.0%,7.17,N/A
,"Gilson, Michael K.",12,100.0%,100.0%,8.21,N/A
,"Amaro, Rommie E",15,25.0%,75.0%,10.50,N/A
,"Walker, Ross Charles",17,25.0%,50.0%,10.50,N/A
,"AMARO, ROMMIE",4,100.0%,100.0%,7.00,N/A
,"Paesani, Francesco                 ",7,100.0%,100.0%,8.10,N/A
,"Paesani, Francesco                 ",7,100.0%,100.0%,8.10,N/A
DOC 100,"Shragge, Abraham Joseph            ",6,100.0%,100.0%,5.83,N/A
DOC 100,"Shragge, Abraham Joseph            ",6,100.0%,100.0%,5.83,N/A
DOC 100,"Shragge, Abraham Joseph            ",6,100.0%,100.0%,5.83,N/A
DOC 100,"Shragge, Abraham Joseph            ",6,100.0%,100.0%,5.83,N/A
,"Shragge, Abraham Joseph       ",39,92.6%,96.3%,5.24,B (3.22)
LTSP 175,"Arcos Herrera, Carol",29,100.0%,100.0%,5.75,B+ (3.33)
,"Sanchez, Rosaura",19,100.0%,100.0%,5.70,N/A
,"Sanchez, Rosaura",19,100.0%,100.0%,5.70,N/A
,"Pita, Beatrice M",14,83.3%,83.3%,4.90,N/A
,"Santizo, Gabriela Domitila         ",11,100.0%,100.0%,7.07,N/A
,"Pita, Beatrice M                   ",11,85.7%,100.0%,8.50,N/A
,"Pita, Beatrice M                   ",11,85.7%,100.0%,8.50,N/A
,"Pita, Beatrice M                   ",11,85.7%,100.0%,8.50,N/A
,"Sanchez, Rosaura                   ",38,100.0%,100.0%,8.63,B+ (3.46)
,"Sanchez, Rosaura                   ",38,100.0%,100.0%,8.63,B+ (3.46)
,"Sanchez, Rosaura              ",35,92.6%,88.9%,6.50,B (3.19)
,"Pita, Beatrice M              ",21,100.0%,100.0%,6.32,N/A
LTSP 174,"Mendoza, Andrea",6,100.0%,100.0%,5.50,N/A
LTSP 174,"Mendoza, Andrea",6,100.0%,100.0%,5.50,N/A
,"Chacon, Gloria Elizabeth",31,100.0%,100.0%,8.83,B+ (3.68)
,"Chacon, Gloria Elizabeth",31,100.0%,100.0%,8.83,B+ (3.68)
,"Chacon, Gloria Elizabeth",31,100.0%,100.0%,8.83,B+ (3.68)
,"Chacon, Gloria Elizabeth",31,100.0%,100.0%,8.83,B+ (3.68)
,"Chacon, Gloria Elizabeth",31,100.0%,100.0%,8.83,B+ (3.68)
,"Blanco, John D",13,100.0%,83.3%,3.83,N/A
,"Blanco, John D",13,100.0%,83.3%,3.83,N/A
,"Myerston Santana, Jacobo",13,87.5%,87.5%,3.75,N/A
,"Di Dio, Maria Paula",7,100.0%,100.0%,6.90,N/A
,"Sanchez, Rosaura",13,100.0%,83.3%,6.50,N/A
,"Parra, Max",16,100.0%,100.0%,9.25,N/A
,"Parra, Max                         ",12,75.0%,100.0%,11.00,N/A
,"Martin-Cabrera, Luis               ",31,93.3%,93.3%,5.30,B+ (3.43)
,"Martin-Cabrera, Luis               ",31,93.3%,93.3%,5.30,B+ (3.43)
,"Martin-Cabrera, Luis               ",31,93.3%,93.3%,5.30,B+ (3.43)
,"Blanco, John D                     ",10,100.0%,75.0%,8.50,N/A
,"Sanchez, Rosaura                   ",28,91.3%,91.3%,4.98,B+ (3.62)
,"Artenstein, Isaac",44,100.0%,100.0%,3.87,A- (3.85)
,"Artenstein, Isaac                  ",41,100.0%,100.0%,4.43,B+ (3.64)
,"Parra, Max                    ",36,96.8%,100.0%,5.15,B (3.09)
LTGK 105,"Myerston Santana, Jacobo",8,100.0%,100.0%,6.50,N/A
LTGK 105,"Myerston Santana, Jacobo",8,100.0%,100.0%,6.50,N/A
LTGK 105,"Myerston Santana, Jacobo",8,100.0%,100.0%,6.50,N/A
LTGK 104,"duBois, Page Ann",10,100.0%,100.0%,6.50,N/A
LTGK 104,"duBois, Page Ann",10,100.0%,100.0%,6.50,N/A
LTGK 104,"duBois, Page Ann",10,100.0%,100.0%,6.50,N/A
LTGK 104,"duBois, Page Ann",10,100.0%,100.0%,6.50,N/A
COSF 139A,"Ellis, Ryan Nelson                 ",20,40.0%,80.0%,5.30,B- (2.94)
,"Horwitz, Robert B",42,75.7%,86.5%,5.28,B- (2.86)
,"Horwitz, Robert B             ",53,100.0%,100.0%,5.36,B- (2.80)
LTGK 102,"duBois, Page Ann",13,100.0%,100.0%,6.83,N/A
,"Murray, Kourtney Kristine",4,100.0%,100.0%,5.83,N/A
CHEM 188,"Schnoebelen, Carly Lynn",14,100.0%,100.0%,5.07,N/A
,"Bussey, Thomas J",11,100.0%,100.0%,3.83,N/A
,"Bussey, Thomas J",11,100.0%,100.0%,3.83,N/A
,"Bussey, Thomas J",11,100.0%,100.0%,3.83,N/A
,"Bussey, Thomas J",11,100.0%,100.0%,3.83,N/A
,"Czworkowski, John",5,100.0%,100.0%,4.00,N/A
,"Czworkowski, John",5,100.0%,100.0%,4.00,N/A
,"Czworkowski, John                  ",8,100.0%,100.0%,3.70,N/A
,"Czworkowski, John                  ",8,100.0%,100.0%,3.70,N/A
,"Czworkowski, John                  ",8,100.0%,100.0%,3.70,N/A
,"Czworkowski, John             ",8,87.5%,100.0%,4.25,N/A
COSF 139B,"Ellis, Ryan Nelson                 ",45,75.0%,87.5%,5.25,B- (2.81)
COSF 139B,"Ellis, Ryan Nelson                 ",45,75.0%,87.5%,5.25,B- (2.81)
,"Horwitz, Robert B             ",37,90.6%,100.0%,5.13,B- (2.88)
HIUS 108A,"Daly, Heather Marie",12,100.0%,100.0%,4.50,N/A
,"Klann, Mary Cameron",65,98.3%,100.0%,4.64,B+ (3.38)
,"Frank, Ross H.",25,92.3%,61.5%,3.88,B+ (3.41)
,"Gonzales, Christian M              ",30,100.0%,100.0%,9.25,N/A
,"Gonzales, Christian M              ",30,100.0%,100.0%,9.25,N/A
,"Gonzales, Christian M              ",30,100.0%,100.0%,9.25,N/A
,"Gonzales, Christian M         ",25,93.8%,94.1%,4.03,N/A
ANTH 42,"Pav, Brent R.",27,88.9%,77.8%,4.06,B (3.17)
,"Wakefield, Monica                  ",34,100.0%,100.0%,4.38,B+ (3.34)
,"Barger, Nicole L.                  ",10,100.0%,100.0%,5.17,N/A
,"Moore, James J                     ",49,95.0%,95.0%,4.50,B (3.04)
,"Moore, James J                     ",49,95.0%,95.0%,4.50,B (3.04)
,"Teffer, Katharine D.          ",7,100.0%,100.0%,4.79,N/A
ANTH 43,"Non, Amy L",27,93.3%,100.0%,5.83,B (3.25)
ANTH 43,"Non, Amy L",27,93.3%,100.0%,5.83,B (3.25)
ANTH 44,"Kang, Byung Chu",71,97.6%,97.6%,1.62,A- (3.74)
BENG 112B,"Shi, Lingyan",38,100.0%,96.9%,6.81,A- (3.82)
,"Schmid-Schoenbein, Geert W",56,63.6%,58.1%,7.23,A- (3.85)
,"Engler, Adam J.",64,94.6%,100.0%,7.18,B (3.24)
,"Engler, Adam J.",64,94.6%,100.0%,7.18,B (3.24)
,"Engler, Adam J.",64,94.6%,100.0%,7.18,B (3.24)
,"Engler, Adam J.",64,94.6%,100.0%,7.18,B (3.24)
,"Engler, Adam J.",64,94.6%,100.0%,7.18,B (3.24)
,"Engler, Adam J.",64,94.6%,100.0%,7.18,B (3.24)
,"Mc Culloch, Andrew Douglas",59,55.6%,55.6%,4.94,A- (3.82)
,"Engler, Adam J.                    ",82,98.0%,93.9%,8.82,B- (2.97)
,"Engler, Adam J.                    ",82,98.0%,93.9%,8.82,B- (2.97)
,"Engler, Adam J.                    ",82,98.0%,93.9%,8.82,B- (2.97)
,"Engler, Adam J.                    ",82,98.0%,93.9%,8.82,B- (2.97)
,"HUANG, WEI                    ",100,74.0%,28.0%,8.80,B (3.12)
BENG 112A,"Valdez-Jasso, Daniela",18,100.0%,100.0%,6.50,N/A
BENG 112A,"Valdez-Jasso, Daniela",18,100.0%,100.0%,6.50,N/A
BENG 112A,"Valdez-Jasso, Daniela",18,100.0%,100.0%,6.50,N/A
BENG 112A,"Valdez-Jasso, Daniela",18,100.0%,100.0%,6.50,N/A
,"Mc Culloch, Andrew Douglas",70,85.7%,78.6%,7.07,B (3.15)
,"Mc Culloch, Andrew Douglas",70,85.7%,78.6%,7.07,B (3.15)
,"Mc Culloch, Andrew Douglas",70,85.7%,78.6%,7.07,B (3.15)
,"Mc Culloch, Andrew Douglas",70,85.7%,78.6%,7.07,B (3.15)
,"Omens, Jeffrey Howard",62,90.0%,90.0%,5.87,B+ (3.52)
,"Lal, Ratnesh",55,60.0%,58.0%,5.26,B+ (3.33)
,"Lal, Ratnesh",55,60.0%,58.0%,5.26,B+ (3.33)
,"Lal, Ratnesh",55,60.0%,58.0%,5.26,B+ (3.33)
,"Lal, Ratnesh",55,60.0%,58.0%,5.26,B+ (3.33)
,"Mc Culloch, Andrew Douglas         ",84,85.7%,82.9%,8.67,B+ (3.36)
,"Mc Culloch, Andrew Douglas         ",84,85.7%,82.9%,8.67,B+ (3.36)
,"Schmid-Schoenbein, Geert W         ",112,80.5%,82.9%,9.28,B- (2.80)
,"Mc Culloch, Andrew Douglas    ",101,81.1%,78.8%,8.32,B+ (3.44)
COCU 177,"Aytes, Ayhan                       ",24,92.3%,100.0%,4.65,B (3.10)
COCU 177,"Aytes, Ayhan                       ",24,92.3%,100.0%,4.65,B (3.10)
COCU 177,"Aytes, Ayhan                       ",24,92.3%,100.0%,4.65,B (3.10)
,"Huber, William H.                  ",102,78.0%,64.0%,4.58,B (3.09)
,"Huber, William H.                  ",102,78.0%,64.0%,4.58,B (3.09)
,"Huber, William H.",45,90.9%,100.0%,3.87,B (3.23)
,"Wardrip-Fruin, Noah G.        ",75,90.7%,92.6%,4.46,B (3.13)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
SOCI 172,"Rona-Tas, Akos",55,95.5%,86.4%,2.88,B+ (3.62)
,"Wetzler, Graydon K.",53,76.9%,7.7%,2.96,A- (3.94)
,"Kovacs, Andras Balint",26,100.0%,100.0%,3.36,B+ (3.41)
,"Rona-Tas, Akos                     ",25,60.0%,80.0%,5.70,B (3.21)
,"Rona-Tas, Akos                     ",25,60.0%,80.0%,5.70,B (3.21)
,"Rona-Tas, Akos                     ",25,60.0%,80.0%,5.70,B (3.21)
,"Rona-Tas, Akos                     ",25,60.0%,80.0%,5.70,B (3.21)
,"Rona-Tas, Akos                     ",25,60.0%,80.0%,5.70,B (3.21)
,"Rona-Tas, Akos                     ",25,60.0%,80.0%,5.70,B (3.21)
,"Rona-Tas, Akos                ",130,91.3%,93.5%,4.06,B (3.22)
,"Rona-Tas, Akos                ",130,91.3%,93.5%,4.06,B (3.22)
SOCI 173,"Navon, Daniel",91,100.0%,100.0%,4.82,B+ (3.49)
SOCI 173,"Navon, Daniel",91,100.0%,100.0%,4.82,B+ (3.49)
SOCI 173,"Navon, Daniel",91,100.0%,100.0%,4.82,B+ (3.49)
SOCI 173,"Navon, Daniel",91,100.0%,100.0%,4.82,B+ (3.49)
,"Rogers, Julia Ellen",58,89.5%,94.7%,5.34,B (3.24)
SOCI 170,"Lampland, Martha",13,66.7%,83.3%,5.50,N/A
SOCI 170,"Lampland, Martha",13,66.7%,83.3%,5.50,N/A
,"Lampland, Martha                   ",27,72.7%,90.9%,4.32,B+ (3.32)
SOCI 171,"Carpano, Davide",32,84.6%,92.3%,3.42,B+ (3.54)
SOCI 171,"Carpano, Davide",32,84.6%,92.3%,3.42,B+ (3.54)
,"Ruiz, Jonathan Joseph",10,100.0%,100.0%,5.17,N/A
,"Thorpe, Charles Robert",9,100.0%,100.0%,5.50,N/A
,"Thorpe, Charles Robert",9,100.0%,100.0%,5.50,N/A
,"Thorpe, Charles Robert",9,100.0%,100.0%,5.50,N/A
,"Thorpe, Charles Robert",9,100.0%,100.0%,5.50,N/A
,"Major, Ivan",6,20.0%,40.0%,2.10,N/A
,"Kadanoff, David Bradley",60,85.5%,89.1%,3.91,B (3.11)
,"Thorpe, Charles Robert             ",32,55.6%,77.8%,5.61,B (3.05)
,"Thorpe, Charles Robert             ",32,55.6%,77.8%,5.61,B (3.05)
,"Thorpe, Charles Robert        ",9,100.0%,100.0%,3.50,N/A
SOCI 176,"Turner, Christena L.",22,100.0%,100.0%,6.28,A- (3.75)
SOCI 176,"Turner, Christena L.",22,100.0%,100.0%,6.28,A- (3.75)
SOCI 176,"Turner, Christena L.",22,100.0%,100.0%,6.28,A- (3.75)
,"Weintraub, Jeff A                  ",37,83.3%,78.3%,5.58,B (3.06)
SOCI 174,"Shafir, Gershon",10,75.0%,75.0%,4.00,N/A
SOCI 175,"Calderon-Zaks, Michael Aar",18,100.0%,100.0%,4.90,N/A
,"Fernandez, Nichole",39,100.0%,100.0%,4.25,B (3.14)
,"Fitzgerald, David S",42,72.2%,83.3%,4.50,B- (2.84)
COSF 171A,"Hallin, Daniel C                   ",101,95.1%,97.6%,5.10,B (3.10)
COSF 171A,"Hallin, Daniel C                   ",101,95.1%,97.6%,5.10,B (3.10)
COSF 171A,"Hallin, Daniel C                   ",101,95.1%,97.6%,5.10,B (3.10)
,"Schudson, Michael S.          ",72,78.1%,76.9%,3.73,B (3.02)
,"Schudson, Michael S.          ",72,78.1%,76.9%,3.73,B (3.02)
CENG 176A,"Opatkiewicz, Justin Paul",63,93.2%,95.5%,10.00,A- (3.84)
CENG 176A,"Opatkiewicz, Justin Paul",63,93.2%,95.5%,10.00,A- (3.84)
CENG 176A,"Opatkiewicz, Justin Paul",63,93.2%,95.5%,10.00,A- (3.84)
CENG 176A,"Opatkiewicz, Justin Paul",63,93.2%,95.5%,10.00,A- (3.84)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Zhang, Liangfang",39,86.4%,81.8%,11.77,B+ (3.67)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Drews, Aaron",60,90.9%,95.5%,9.41,A- (3.77)
,"Talbot, Jan B",79,91.3%,60.9%,9.80,B+ (3.55)
,"Talbot, Jan B",79,91.3%,60.9%,9.80,B+ (3.55)
,"Talbot, Jan B",79,91.3%,60.9%,9.80,B+ (3.55)
,"Talbot, Jan B",79,91.3%,60.9%,9.80,B+ (3.55)
,"Chau, Pao C.                       ",64,62.5%,31.3%,11.63,B+ (3.50)
,"Chau, Pao C.                       ",64,62.5%,31.3%,11.63,B+ (3.50)
,"Zhang, Liangfang                   ",64,75.0%,91.7%,9.50,B+ (3.50)
,"Zhang, Liangfang                   ",64,75.0%,91.7%,9.50,B+ (3.50)
,"Chau, Pao C.",62,88.2%,76.5%,15.68,B (3.07)
,"Talbot, Jan B                      ",62,84.2%,73.7%,15.13,B (3.07)
,"Talbot, Jan B                      ",62,84.2%,73.7%,15.13,B (3.07)
,"Chau, Pao C.                  ",29,100.0%,90.9%,10.68,B (3.11)
,"Chen, Zheng",134,95.5%,95.5%,8.01,B+ (3.54)
,"Chen, Zheng",134,95.5%,95.5%,8.01,B+ (3.54)
,"Fenning, David",134,95.3%,92.9%,7.96,N/A
,"Fenning, David",134,95.3%,92.9%,7.96,N/A
,"Vazquez Mena, Oscar",134,95.3%,91.8%,7.96,N/A
,"Vazquez Mena, Oscar",134,95.3%,91.8%,7.96,N/A
,"Yang, Kesong",134,95.3%,85.9%,7.96,B+ (3.54)
,"Yang, Kesong",134,95.3%,85.9%,7.96,B+ (3.54)
,"Yang, Kesong",134,95.3%,85.9%,7.96,B+ (3.54)
,"Yang, Kesong",134,95.3%,85.9%,7.96,B+ (3.54)
,"Yang, Kesong",134,95.3%,85.9%,7.96,B+ (3.54)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
CENG 176B,"Drews, Aaron",60,89.7%,96.6%,8.98,B+ (3.48)
,"Opatkiewicz, Justin Paul",43,93.8%,93.8%,6.13,B+ (3.44)
,"Opatkiewicz, Justin Paul",43,93.8%,93.8%,6.13,B+ (3.44)
,"Opatkiewicz, Justin Paul",43,93.8%,93.8%,6.13,B+ (3.44)
,"Opatkiewicz, Justin Paul",43,93.8%,93.8%,6.13,B+ (3.44)
,"Opatkiewicz, Justin Paul",43,93.8%,93.8%,6.13,B+ (3.44)
,"Opatkiewicz, Justin Paul",43,93.8%,93.8%,6.13,B+ (3.44)
,"Opatkiewicz, Justin Paul",43,93.8%,93.8%,6.13,B+ (3.44)
,"Chau, Pao C.                       ",63,77.8%,60.0%,9.30,B+ (3.44)
,"Chau, Pao C.                       ",63,77.8%,60.0%,9.30,B+ (3.44)
,"Chau, Pao C.                       ",63,77.8%,60.0%,9.30,B+ (3.44)
,"Chau, Pao C.                       ",63,77.8%,60.0%,9.30,B+ (3.44)
