Course Code,Professor,Enrolled Count,Course Rec %,Prof Rec %,Hours/Week,Grade
,"Kube, Paul Richard                 ",140,90.8%,86.2%,11.45,B- (2.95)
,"Kube, Paul Richard                 ",140,90.8%,86.2%,11.45,B- (2.95)
,"Kube, Paul Richard                 ",140,90.8%,86.2%,11.45,B- (2.95)
,"Glick, John Edward                 ",25,100.0%,87.5%,10.00,N/A
,"Lee, Cynthia Bailey                ",58,82.9%,85.7%,14.56,B- (2.72)
,"Burkhard, Walter A.           ",65,90.0%,40.0%,8.03,B- (2.87)
,"Burkhard, Walter A.           ",65,90.0%,40.0%,8.03,B- (2.87)
,"Kube, Paul Richard            ",41,88.9%,92.3%,13.46,B- (2.97)
,"Glick, John Edward            ",30,95.7%,100.0%,10.41,N/A
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
CSE 103,"Freund, Yoav",97,84.1%,81.7%,6.62,B+ (3.41)
,"Dasgupta, Sanjoy",184,91.8%,96.5%,7.04,B (3.21)
,"Freund, Yoav                       ",117,67.7%,64.6%,6.72,B+ (3.32)
,"Freund, Yoav                       ",117,67.7%,64.6%,6.72,B+ (3.32)
,"Dasgupta, Sanjoy                   ",45,96.8%,100.0%,5.98,B (3.14)
,"Dasgupta, Sanjoy                   ",45,96.8%,100.0%,5.98,B (3.14)
,"Freund, Yoav                  ",13,46.2%,69.2%,5.58,N/A
HIEU 117B,"Gallant, Thomas W.                 ",65,100.0%,100.0%,3.42,B- (2.84)
HIEU 117B,"Gallant, Thomas W.                 ",65,100.0%,100.0%,3.42,B- (2.84)
HIEU 117A,"Gallant, Thomas W.                 ",67,85.2%,96.3%,6.13,B- (2.77)
HIEU 117A,"Gallant, Thomas W.                 ",67,85.2%,96.3%,6.13,B- (2.77)
HIEU 117A,"Gallant, Thomas W.                 ",67,85.2%,96.3%,6.13,B- (2.77)
,"Gallant, Thomas W.            ",70,97.7%,100.0%,3.39,B (3.08)
SOCD 188D,"Zamosc, Leon                  ",27,87.0%,79.2%,6.25,N/A
ANSC 117GS,"Haviland, John B.                  ",9,87.5%,100.0%,9.83,N/A
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
USP 186,"Pezzoli, Keith",37,77.8%,88.9%,8.06,B (3.09)
,"Pezzoli, Keith                     ",76,76.9%,84.2%,8.50,B+ (3.47)
,"Pezzoli, Keith                     ",76,76.9%,84.2%,8.50,B+ (3.47)
,"Pezzoli, Keith                     ",76,76.9%,84.2%,8.50,B+ (3.47)
,"Pezzoli, Keith                     ",76,76.9%,84.2%,8.50,B+ (3.47)
,"Pezzoli, Keith                ",79,76.7%,95.2%,6.20,B- (2.96)
SOCI 196A,"Haydu, Jeffrey Miles",16,100.0%,100.0%,9.83,N/A
SOCI 196A,"Haydu, Jeffrey Miles",16,100.0%,100.0%,9.83,N/A
SOCI 196A,"Haydu, Jeffrey Miles",16,100.0%,100.0%,9.83,N/A
,"Turner, Christena L.",13,50.0%,100.0%,10.50,N/A
,"Turner, Christena L.",13,50.0%,100.0%,10.50,N/A
,"Turner, Christena L.",13,50.0%,100.0%,10.50,N/A
,"Skrentny, John David",7,100.0%,100.0%,9.83,N/A
HIEA 125,"Lu, Weijing                        ",65,94.1%,70.6%,4.62,C+ (2.48)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
SE 104L,"Qiao, Yu",30,100.0%,100.0%,5.07,B+ (3.50)
ENG 20,"Evdokimenko, Ekaterina",23,90.9%,100.0%,5.17,A- (3.77)
ENG 20,"Evdokimenko, Ekaterina",23,90.9%,100.0%,5.17,A- (3.77)
ENG 20,"Evdokimenko, Ekaterina",23,90.9%,100.0%,5.17,A- (3.77)
VIS 161,"Bratton, Benjamin H.",9,100.0%,100.0%,3.30,N/A
VIS 161,"Bratton, Benjamin H.",9,100.0%,100.0%,3.30,N/A
,"Dominguez, Ricardo",28,80.0%,80.0%,4.10,A (4.00)
POLI 110ED,"Sharpless, Isaac Walling",9,100.0%,100.0%,5.70,N/A
,"Houston, Alan Craig           ",15,100.0%,100.0%,6.36,N/A
SOCI 188I,"Shafir, Gershon",32,100.0%,100.0%,6.00,B (3.18)
SOCI 188I,"Shafir, Gershon",32,100.0%,100.0%,6.00,B (3.18)
SOCI 188I,"Shafir, Gershon",32,100.0%,100.0%,6.00,B (3.18)
SOCI 188I,"Shafir, Gershon",32,100.0%,100.0%,6.00,B (3.18)
,"Barzilai, David",11,100.0%,100.0%,4.50,N/A
PHIL 33,"Connelly, Kathleen Ambrose",42,85.7%,92.9%,4.64,B- (2.82)
,"Hardimon, Michael O.",63,88.2%,100.0%,5.21,B (3.28)
,"Hardimon, Michael O.",63,88.2%,100.0%,5.21,B (3.28)
,"Tolley, Clinton",68,91.7%,82.6%,5.92,B+ (3.47)
,"Tolley, Clinton",68,91.7%,82.6%,5.92,B+ (3.47)
,"Tolley, Clinton",68,91.7%,82.6%,5.92,B+ (3.47)
,"Tolley, Clinton",68,91.7%,82.6%,5.92,B+ (3.47)
,"Tolley, Clinton",68,91.7%,82.6%,5.92,B+ (3.47)
,"Tolley, Clinton",68,91.7%,82.6%,5.92,B+ (3.47)
,"Tolley, Clinton                    ",52,80.0%,78.9%,5.80,B- (2.74)
,"Tolley, Clinton                    ",52,80.0%,78.9%,5.80,B- (2.74)
,"Hardimon, Michael O.               ",45,81.8%,90.9%,4.07,C+ (2.57)
